region_id,target,pred_stat,top_evidence,top_factor_id,top_factor_label,top_factor_kind,top_baseline_type,top_baseline_value,top_freq,top_delta_mean,top_direction,top_score
0,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.8473978749750843, ""p50"": 1.8513081669807434, ""p95"": 1.9777055203914642}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.24603624641895294, ""freq"": 0.7262804366078925, ""delta_mean"": 0.46543601155281067, ""direction"": ""increase"", ""score"": 0.33803706968361147}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.24603624641895294, ""freq"": 0.18261964735516373, ""delta_mean"": -0.40177345275878906, ""direction"": ""decrease"", ""score"": 0.07337172625947659}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.24603624641895294, ""freq"": 0.06381192275398824, ""delta_mean"": -0.4191945493221283, ""direction"": ""decrease"", ""score"": 0.026749610200236563}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.24603624641895294, ""freq"": 0.02392947103274559, ""delta_mean"": 0.38731053471565247, ""direction"": ""increase"", ""score"": 0.009268136221155411}, {""factor_id"": 39, ""factor_label"": ""climate_bio12"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.24603624641895294, ""freq"": 0.002938706968933669, ""delta_mean"": -0.33794689178466797, ""direction"": ""decrease"", ""score"": 0.0009931268860170763}]",43,terrain_relief,terrain_feature,region_mean,0.24603624641895294,0.7262804366078925,0.46543601155281067,increase,0.33803706968361147
1,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.754363529540442, ""p50"": 1.7557069659233093, ""p95"": 1.8525142610073089}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19362184405326843, ""freq"": 0.743006993006993, ""delta_mean"": 0.4195660650730133, ""direction"": ""increase"", ""score"": 0.31174052037767597}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19362184405326843, ""freq"": 0.2298951048951049, ""delta_mean"": -0.45998895168304443, ""direction"": ""decrease"", ""score"": 0.10574920829776284}, {""factor_id"": 39, ""factor_label"": ""climate_bio12"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19362184405326843, ""freq"": 0.022727272727272728, ""delta_mean"": -0.46800902485847473, ""direction"": ""decrease"", ""score"": 0.010636568746783518}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19362184405326843, ""freq"": 0.0034965034965034965, ""delta_mean"": -0.5591413378715515, ""direction"": ""decrease"", ""score"": 0.001955039642907523}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19362184405326843, ""freq"": 0.0008741258741258741, ""delta_mean"": 0.25409242510795593, ""direction"": ""increase"", ""score"": 0.0002221087632062552}]",43,terrain_relief,terrain_feature,region_mean,0.19362184405326843,0.743006993006993,0.4195660650730133,increase,0.31174052037767597
2,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.7717534830172856, ""p50"": 1.7638035416603088, ""p95"": 1.8982585847377778}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19694751501083374, ""freq"": 0.7208333333333333, ""delta_mean"": 0.43520382046699524, ""direction"": ""increase"", ""score"": 0.3137094205866257}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19694751501083374, ""freq"": 0.2, ""delta_mean"": -0.4116295576095581, ""direction"": ""decrease"", ""score"": 0.08232591152191163}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19694751501083374, ""freq"": 0.07152777777777777, ""delta_mean"": -0.45923203229904175, ""direction"": ""decrease"", ""score"": 0.032847846754723124}, {""factor_id"": 39, ""factor_label"": ""climate_bio12"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19694751501083374, ""freq"": 0.005555555555555556, ""delta_mean"": -0.35352712869644165, ""direction"": ""decrease"", ""score"": 0.0019640396038691204}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.19694751501083374, ""freq"": 0.001388888888888889, ""delta_mean"": 0.507655918598175, ""direction"": ""increase"", ""score"": 0.0007050776647196876}]",43,terrain_relief,terrain_feature,region_mean,0.19694751501083374,0.7208333333333333,0.43520382046699524,increase,0.3137094205866257
3,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.8096406559960176, ""p50"": 1.8115037679672241, ""p95"": 1.910092830657959}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.18129093945026398, ""freq"": 0.6807489198271723, ""delta_mean"": 0.44178372621536255, ""direction"": ""increase"", ""score"": 0.30074379441833127}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.18129093945026398, ""freq"": 0.19971195391262603, ""delta_mean"": -0.3765724003314972, ""direction"": ""decrease"", ""score"": 0.07520600985977093}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.18129093945026398, ""freq"": 0.11377820451272204, ""delta_mean"": -0.4000750780105591, ""direction"": ""decrease"", ""score"": 0.045519824046328615}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.18129093945026398, ""freq"": 0.004800768122899664, ""delta_mean"": 0.3247555196285248, ""direction"": ""increase"", ""score"": 0.001559075946368338}, {""factor_id"": 39, ""factor_label"": ""climate_bio12"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.18129093945026398, ""freq"": 0.0009601536245799327, ""delta_mean"": -0.29797255992889404, ""direction"": ""decrease"", ""score"": 0.00028609943344108885}]",43,terrain_relief,terrain_feature,region_mean,0.18129093945026398,0.6807489198271723,0.44178372621536255,increase,0.30074379441833127
4,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.797848602145928, ""p50"": 1.7924184203147888, ""p95"": 1.9475289702415466}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.246718630194664, ""freq"": 0.7467529441914103, ""delta_mean"": 0.41495397686958313, ""direction"": ""increase"", ""score"": 0.30986810393129555}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.246718630194664, ""freq"": 0.17996552005311775, ""delta_mean"": -0.3848538100719452, ""direction"": ""decrease"", ""score"": 0.06926041607402142}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.246718630194664, ""freq"": 0.0433503791629294, ""delta_mean"": 0.3937649428844452, ""direction"": ""increase"", ""score"": 0.01706985957510994}, {""factor_id"": 39, ""factor_label"": ""climate_bio12"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.246718630194664, ""freq"": 0.022703181241045114, ""delta_mean"": -0.35599032044410706, ""direction"": ""decrease"", ""score"": 0.00808211276510029}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.246718630194664, ""freq"": 0.00662224655491747, ""delta_mean"": -0.40368422865867615, ""direction"": ""decrease"", ""score"": 0.002673296492509434}]",43,terrain_relief,terrain_feature,region_mean,0.246718630194664,0.7467529441914103,0.41495397686958313,increase,0.30986810393129555
5,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 2.0216017361020184, ""p50"": 2.015791654586792, ""p95"": 2.1753830432891843}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.3694855272769928, ""freq"": 0.6873595365329871, ""delta_mean"": 0.4578605890274048, ""direction"": ""increase"", ""score"": 0.31471484227059743}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.3694855272769928, ""freq"": 0.22409229386205864, ""delta_mean"": 0.4155377149581909, ""direction"": ""increase"", ""score"": 0.09311879973117929}, {""factor_id"": 25, ""factor_label"": ""red_edge_diff"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.3694855272769928, ""freq"": 0.05518653548419318, ""delta_mean"": -0.4496164321899414, ""direction"": ""decrease"", ""score"": 0.024812773189326537}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.3694855272769928, ""freq"": 0.02022673924986266, ""delta_mean"": -0.4778593182563782, ""direction"": ""decrease"", ""score"": 0.009665535828488897}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.3694855272769928, ""freq"": 0.010587824002397243, ""delta_mean"": -0.3974810242652893, ""direction"": ""decrease"", ""score"": 0.004208459129213471}]",43,terrain_relief,terrain_feature,region_mean,0.3694855272769928,0.6873595365329871,0.4578605890274048,increase,0.31471484227059743
6,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 2.040387964640935, ""p50"": 2.0544921159744263, ""p95"": 2.166311812400818}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.43625888228416443, ""freq"": 0.757409211075553, ""delta_mean"": 0.46521031856536865, ""direction"": ""increase"", ""score"": 0.3523545803688026}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.43625888228416443, ""freq"": 0.21514540141922917, ""delta_mean"": 0.44487303495407104, ""direction"": ""increase"", ""score"": 0.09571238768578438}, {""factor_id"": 25, ""factor_label"": ""red_edge_diff"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.43625888228416443, ""freq"": 0.012174759983303186, ""delta_mean"": -0.4684463143348694, ""direction"": ""decrease"", ""score"": 0.0057032214420900335}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.43625888228416443, ""freq"": 0.007270070961458188, ""delta_mean"": -0.42495787143707275, ""direction"": ""decrease"", ""score"": 0.003089473880977745}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.43625888228416443, ""freq"": 0.005878669820509253, ""delta_mean"": -0.48786285519599915, ""direction"": ""decrease"", ""score"": 0.002867984643388196}]",43,terrain_relief,terrain_feature,region_mean,0.43625888228416443,0.757409211075553,0.46521031856536865,increase,0.3523545803688026
7,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 2.1309786708860283, ""p50"": 2.129260540008545, ""p95"": 2.230972409248352}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.4459444582462311, ""freq"": 0.6573295985060691, ""delta_mean"": 0.4649508595466614, ""direction"": ""increase"", ""score"": 0.30562596183085866}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.4459444582462311, ""freq"": 0.32679738562091504, ""delta_mean"": 0.4538429081439972, ""direction"": ""increase"", ""score"": 0.14831467586405137}, {""factor_id"": 25, ""factor_label"": ""red_edge_diff"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.4459444582462311, ""freq"": 0.014005602240896359, ""delta_mean"": -0.5127556920051575, ""direction"": ""decrease"", ""score"": 0.007181452268979796}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.4459444582462311, ""freq"": 0.0018674136321195146, ""delta_mean"": -0.4362874925136566, ""direction"": ""decrease"", ""score"": 0.000814729211043243}]",43,terrain_relief,terrain_feature,region_mean,0.4459444582462311,0.6573295985060691,0.4649508595466614,increase,0.30562596183085866
8,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.8311254614532646, ""p50"": 1.8339649438858032, ""p95"": 1.925690472126007}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": -0.5759618282318115, ""freq"": 0.4721499219156689, ""delta_mean"": -0.6272289156913757, ""direction"": ""decrease"", ""score"": 0.2961460835669327}, {""factor_id"": 19, ""factor_label"": ""ndre"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": -0.5759618282318115, ""freq"": 0.3893805309734513, ""delta_mean"": -0.6110482811927795, ""direction"": ""decrease"", ""score"": 0.2379303041812593}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": -0.5759618282318115, ""freq"": 0.11591185146625022, ""delta_mean"": -0.4134018123149872, ""direction"": ""decrease"", ""score"": 0.04791816946493344}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": -0.5759618282318115, ""freq"": 0.02030192608016658, ""delta_mean"": 0.3721088767051697, ""direction"": ""increase"", ""score"": 0.007554526908642174}, {""factor_id"": 44, ""factor_label"": ""terrain_slope"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": -0.5759618282318115, ""freq"": 0.002082248828735034, ""delta_mean"": -0.6781185269355774, ""direction"": ""decrease"", ""score"": 0.0014120115084551325}]",43,terrain_relief,terrain_feature,region_mean,-0.5759618282318115,0.4721499219156689,-0.6272289156913757,decrease,0.2961460835669327
9,OC_0-5cm_1km_mean,"{""OC_0-5cm_1km_mean"": {""mean"": 1.9710000261997032, ""p50"": 1.9705596566200256, ""p95"": 2.0511598587036133}}","[{""factor_id"": 43, ""factor_label"": ""terrain_relief"", ""factor_kind"": ""terrain_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.44265520572662354, ""freq"": 0.8463866818009838, ""delta_mean"": 0.4453268051147461, ""direction"": ""increase"", ""score"": 0.3769186768981033}, {""factor_id"": 37, ""factor_label"": ""climate_bio1"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.44265520572662354, ""freq"": 0.15285660234581913, ""delta_mean"": 0.4320492744445801, ""direction"": ""increase"", ""score"": 0.06604158413757485}, {""factor_id"": 25, ""factor_label"": ""red_edge_diff"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.44265520572662354, ""freq"": 0.00037835792659856227, ""delta_mean"": -0.38117271661758423, ""direction"": ""decrease"", ""score"": 0.00014421971873537052}, {""factor_id"": 20, ""factor_label"": ""evi"", ""factor_kind"": ""aux_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.44265520572662354, ""freq"": 0.00018917896329928113, ""delta_mean"": -0.43767571449279785, ""direction"": ""decrease"", ""score"": 8.279903792901966e-05}, {""factor_id"": 40, ""factor_label"": ""climate_bio15"", ""factor_kind"": ""climate_feature"", ""baseline_type"": ""region_mean"", ""baseline_value"": 0.44265520572662354, ""freq"": 0.00018917896329928113, ""delta_mean"": -0.41250184178352356, ""direction"": ""decrease"", ""score"": 7.803667078765107e-05}]",43,terrain_relief,terrain_feature,region_mean,0.44265520572662354,0.8463866818009838,0.4453268051147461,increase,0.3769186768981033
